id,repo_fullname,commits_count,commits_days_since_first,commits_days_since_last,commits_total_lines_added,commits_total_lines_removed,commits_avg_added,commits_avg_removed,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day,commits_avg_per_day_real,commits_max_per_day,contributors_count,contributors_top_avg_commits,contributors_top_avg_participation_week,contributors_top_avg_additions,contributors_top_avg_deletions,forks_count,forks_avg_per_day,forks_avg_max_per_day,issues_total_comments,issues_count,issues_open,issues_labels,issues_avg_labels,issues_avg_closing_time,issues_avg_comment_time,issues_avg_comments,issues_avg_comment_length,issues_avg_title_length,issues_avg_body_length,issues_avg_per_day,issues_avg_per_day_real,issues_max_per_day,repo_size,repo_topics,repo_branches,repo_age_days,repo_workflows,repo_languages,repo_milestones,repo_watchers,repo_deployments,repo_readme_length,repo_network_members,pulls_count,pulls_total_lines_added,pulls_total_lines_removed,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_closing_time,pulls_avg_comments,pulls_avg_review_comments,pulls_avg_Commits,pulls_avg_body_length,pulls_avg_title_length,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_created_per_day,pulls_avg_created_per_day_real,pulls_max_created_per_day,releases_count,releases_tags,releases_total_downloads,releases_avg_body_length,releases_avg_title_length,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,releases_avg_downloads_per_day,stars_count,stars_avg_per_day_real,stars_max_per_day,wf_count,wf_avg_duration,wf_avg_success_duration,wf_avg_failure_duration,wf_avg_successes_per_day,wf_avg_successes_per_day_real,wf_avg_fails_per_day,created_at,updated_at
39,MicrosoftDocs/nav-content.nl-be,68,1717,93,114552,16814,1685,247,42,43,,3,4,7,4,3,1684,247,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7769,0,6,1717,0,2,0,2,0,12751,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,2022-03-05 22:40:02.81098,2022-03-05 22:40:02.81098
40,Azure/azure-event-hubs-for-kafka,590,1306,60,83712,4168,142,7,2,50,,6,92,26,9,3,129,43,153,0,2,486,187,41,45,0,0,0,2,466,52,1972,0,1,4,2150,8,6,1306,0,7,0,156,0,11902,155,6,873,3,145,0,0,0,0,1,966,56,4,0,0,1,2,0,0,0,0,0,0,0,0,,156,1,2,0,0,0,0,0,0,0,2022-03-05 22:43:05.074832,2022-03-05 22:43:05.074832
41,priyaprabhupai/cobol-programs,245,684,648,19241,1828,79,7,3,21,,27,64,31,7,2,78,7,15,0,11,0,2,1,0,0,0,0,0,0,16,925,0,2,2,13744,0,2,684,0,2,0,2,0,0,15,1,1,0,1,0,0,0,0,1,1820,12,1,0,0,1,1,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,2022-03-05 23:58:14.512428,2022-03-05 23:58:14.512428
42,Vizzuality/GeoCAT,786,4281,914,100337,58859,128,75,5,35,,4,32,9,58,11,131,115,9,0,4,24,38,2,0,0,0,0,0,114,31,126,0,1,4,4051,0,7,4281,0,5,0,15,0,1047,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,530,40,0,0,0,,15,1,5,0,0,0,0,0,0,0,2022-03-06 00:24:02.486619,2022-03-06 00:24:02.486619
43,Techtonica/keyboard-shortcuts-practice,348,1516,126,24686,9743,71,28,2,74,,5,31,41,7,1,71,32,56,0,21,377,158,18,249,1,0,0,2,192,43,588,0,2,27,7893,11,12,1519,0,4,0,25,172,1993,56,4,42,34,10,8,0,0,0,1,4899,36,1,1,0,1,3,0,0,0,0,0,0,0,0,,25,1,2,0,0,0,0,0,0,0,2022-03-06 00:27:22.669862,2022-03-06 00:27:22.669862
44,Azure-Samples/gaming-cognitive-services-text-translation,15,1089,393,1080,77,72,5,2,16,,2,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,1089,0,1,0,2,0,1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,313,0,52,1,44,9092,,2,1,1,0,0,0,0,0,0,0,2022-03-06 00:27:39.912161,2022-03-06 00:27:39.912161
45,vogellacompany/gittraining-shared,48,4026,24,2693,909,56,19,4,62,,4,29,8,3,1,123,77,9,0,2,677,28,0,1,0,0,0,24,458,19,280,0,2,9,283,0,37,3145,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0.016886574074074075,0.015572916666666667,0.0013136574074074075,0,8,0,2022-03-06 00:28:21.577295,2022-03-06 00:28:21.577295
46,microsoft/dotnet-rbroker-framework,15,2588,2129,9089,473,606,32,27,29,,2,3,2,4,1,1102,16,16,0,2,4,6,4,0,0,0,0,0,62,60,690,0,1,1,502,0,2,2588,0,2,0,7,0,2820,17,1,19,5,19,5,0,0,0,1,200,49,1,0,0,1,1,4,4,1312,402,5,2,164,277332,,7,1,1,0,0,0,0,0,0,0,2022-03-06 00:28:44.271976,2022-03-06 00:28:44.271976
47,MicrosoftDocs/E2E_Mic_Transfer_Dynamic,2,1718,1718,528,0,264,0,5,112,,2,2,1,2,1,264,0,2,0,1,12,1,1,0,0,0,0,12,704,15,0,0,1,1,9,0,3,1718,0,1,0,3,0,373,2,1,1,1,1,1,0,12,0,1,0,15,1,0,0,1,1,0,0,0,0,0,0,0,0,,3,1,1,0,0,0,0,0,0,0,2022-03-06 00:28:56.351198,2022-03-06 00:28:56.351198
48,doubleencore/CocoaLumberjack,180,4336,1747,133037,15677,739,87,5,77,,2,6,19,7,3,1011,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267,0,4,3207,0,5,0,0,0,2719,2218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2022-03-06 00:30:40.727571,2022-03-06 00:30:40.727571
49,CCSU-CS416F16/CS416F16CourseInfo,69,2357,1872,86695,9500,1256,138,35,30,,2,8,1,63,21,1334,188,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2666,0,1,2019,0,6,0,6,0,157,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,1,1,0,0,0,0,0,0,0,2022-03-06 00:31:32.685343,2022-03-06 00:31:32.685343
50,wrideveloper/miniclass-web,347,1402,17,23644,8445,68,24,4,39,,3,20,34,8,3,76,42,46,0,9,37,128,26,122,0,0,0,0,122,47,524,0,2,8,11081,5,18,1402,0,0,0,36,0,5139,49,7,943,53,134,7,0,0,2,2,9,41,2,0,0,1,2,0,0,0,0,0,0,0,0,,36,1,1,0,0,0,0,0,0,0,2022-03-06 00:35:03.418065,2022-03-06 00:35:03.418065
51,Azure/DistributedDeepLearning,87,1308,1174,184039,23662,2115,272,4,37,,6,18,0,0,0,0,0,10,0,1,2,9,0,0,0,0,0,0,26,37,443,0,1,2,619,7,9,1308,0,5,0,24,0,5062,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,1,2,0,0,0,0,0,0,0,2022-03-06 00:36:04.640592,2022-03-06 00:36:04.640592
52,MicrosoftDocs/OfficeDocs-Exchange-Test-pr.ru-ru,119,1409,816,655482,198009,5508,1664,53,60,,3,18,13,6,2,2699,857,13,0,2,48,25,0,0,0,0,0,1,13728,29,8,0,1,2,16989,0,5,1409,0,1,0,4,0,373,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,1,1,0,0,0,0,0,0,0,2022-03-06 00:38:12.688062,2022-03-06 00:38:12.688062
53,MicrosoftDocs/office-developer-lync-silverlight-ref-dotnet,20,1412,79,89587,38,4479,2,32,63,,2,5,6,2,1,11877,5907,3,0,1,11,7,1,0,0,0,0,1,12296,40,54,0,1,1,11296,0,3,1412,0,1,0,2,0,373,3,1,3,3,3,3,0,1,0,1,0,27,1,0,0,1,1,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,2022-03-06 00:38:39.297871,2022-03-06 00:38:39.297871
54,wildauwil/modul2,80,1808,1738,212,3,3,0,2,32,,10,56,20,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,1809,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2022-03-06 00:39:26.30245,2022-03-06 00:39:26.30245
55,Azure-Samples/azure-devops-release-notes,16,1237,964,1262,159,79,10,3,22,,3,10,4,3,1,123,44,23,0,1,4,4,1,0,0,0,0,1,67,41,1016,0,1,2,456,0,1,1237,0,1,0,56,0,8653,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,928,0,36,1,309,297776,,56,1,4,0,0,0,0,0,0,0,2022-03-06 00:39:47.069698,2022-03-06 00:39:47.069698
56,tushar-rishav/code2pdf,68,2359,626,2361,1530,35,23,3,35,,4,18,4,13,2,42,16,27,0,3,39,35,11,18,0,0,0,1,334,31,225,0,1,3,164,3,2,2359,0,2,0,332,0,2782,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,332,2,43,0,0,0,0,0,0,0,2022-03-06 00:40:32.85999,2022-03-06 00:40:32.85999
57,craftcommon/Worlk-Life-Balance,151,486,463,2013,97,13,1,2,48,,11,77,32,2,1,12,0,2,0,1,75,82,5,0,0,0,0,0,25,22,14,0,5,48,147,0,100,486,0,1,0,0,0,31,2,5,1916,1,383,0,0,0,0,3,12,14,10,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2022-03-06 00:42:05.763005,2022-03-06 00:42:05.763005
58,MicrosoftDocs/microsoft-365-docs-pr.zh-TW,3061,1205,1,1134128,766426,371,250,20,25,,4,27,0,0,0,0,0,3,0,1,2,2,2,0,0,0,0,1,1555,123,29,0,2,2,686907,0,6,1205,0,1,0,3,0,5107,3,2,6,6,3,3,0,1,0,1,29,123,1,0,0,1,2,0,0,0,0,0,0,0,0,,3,1,1,0,0,0,0,0,0,0,2022-03-06 01:22:19.657396,2022-03-06 01:22:19.657396
59,microsoftgraph/msgraph-training-xamarin.de-DE,20,1047,29,19621,2426,981,121,10,23,,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11222,0,4,1047,0,0,0,1,0,1324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,2022-03-06 01:22:40.606065,2022-03-06 01:22:40.606065
60,microsoft/Kuku,119,879,393,12715,5688,107,48,5,39,,3,10,5,21,5,135,77,10,0,3,2,2,0,0,0,0,0,1,123,20,741,0,1,1,212,0,8,872,0,5,0,34,0,15470,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,329,13,0,0,0,,34,1,8,0,0,0,0,0,0,0,2022-03-06 01:23:55.832548,2022-03-06 01:23:55.832548
61,featsuperior94/STC,,,,,,,,,,,,,1,1,1,86897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34798,0,1,994,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,145,48,5,1,7,273246138,,2,1,1,0,0,0,0,0,0,0,2022-03-06 01:24:03.954148,2022-03-06 01:24:03.954148
62,ctang003/e2560-ttuee,16,1391,1363,4708,132,294,8,1,19,,8,12,11,1,1,313,8,5,0,3,5,6,2,0,0,0,0,0,24,5,19,0,3,5,144,0,50,1391,0,2,0,21,0,44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,4,12,0,0,0,0,0,0,0,2022-03-06 01:24:24.979704,2022-03-06 01:24:24.979704
63,Azure-Samples/app-service-mobile-xamarin-android-quickstart,23,2259,2038,3447,393,150,17,4,31,,2,5,2,8,4,111,14,3,0,1,8,6,1,3,0,0,0,1,207,31,381,0,1,2,35,0,1,2259,0,1,0,5,0,10833,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,1,1,0,0,0,0,0,0,0,2022-03-06 03:01:07.783198,2022-03-06 03:01:07.783198
64,microsoft/PerthCSA,5,704,704,485,0,97,0,1,24,,5,5,1,4,1,33,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,704,0,0,0,1,0,3277,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,2022-03-06 03:01:20.374959,2022-03-06 03:01:20.374959
65,Azure-Samples/virtual-machines-go-manage,10,2036,1443,1290,1254,129,125,2,73,,2,4,2,4,2,143,137,7,0,1,22,8,0,0,0,0,0,2,52,16,20,0,1,1,18,0,2,2036,0,0,0,5,0,699,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,1,1,0,0,0,0,0,0,0,2022-03-06 08:03:37.973254,2022-03-06 08:03:37.973254
66,MicrosoftDocs/mixed-reality.ko-KR,304,1060,109,113624,47731,374,157,6,25,,2,7,7,43,11,374,157,3,0,1,3,1,0,0,0,0,0,3,339,22,22,0,1,1,10880,0,4,1060,0,1,0,2,0,456,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,2022-03-06 08:06:55.516603,2022-03-06 08:06:55.516603
67,Azure-Samples/network-python-manage-loadbalancer,17,2094,905,770,152,45,9,1,34,,2,4,6,2,1,52,7,7,0,1,3,5,2,0,0,0,0,0,43,28,81,0,1,1,38,0,1,2094,0,1,0,3,0,4591,8,1,935,8,935,8,0,0,5,6,69,47,4,0,0,1,1,1,1,318,0,72,1,318,30905,,3,1,1,0,0,0,0,0,0,0,2022-03-06 08:07:16.058914,2022-03-06 08:07:16.058914
68,ziurregor/UDABOL,180,546,515,222180,17249,1234,96,9,28,,7,36,31,4,1,1516,137,24,0,8,3,9,1,0,0,0,0,0,6,11,14,0,1,1,30003,0,22,546,0,8,0,1,0,341,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,2022-03-06 08:09:00.23197,2022-03-06 08:09:00.23197
69,elizabethdancy/SYST17796_Summer2021_ICE1_ThursdaySection,12,285,279,2149,79,179,7,2,49,,4,8,4,1,1,2,6,0,0,0,0,4,0,0,0,0,0,0,0,20,19,0,2,3,202,0,32,285,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,2022-03-06 08:09:14.4823,2022-03-06 08:09:14.4823
70,Talend/tcommon-studio-se,12793,3754,2,26044479,6582658,2036,515,7,155,,5,43,0,0,0,0,0,102,0,2,1396,5090,88,232,0,0,0,0,819,58,78,1,3,14,849652,0,486,2814,0,5,0,70,0,1515,102,87,113320,98998,1302,1137,0,0,0,5,576,63,10,0,0,1,7,0,0,0,0,0,0,0,0,,70,1,1,0,0,0,0,0,0,0,2022-03-06 10:18:22.945755,2022-03-06 10:18:22.945755
71,oVirt/ovirt-node-iso,86,3678,2154,1118,435,13,5,1,166,,2,20,5,13,6,15,5,3,0,1,1,1,0,0,0,0,0,1,204,9,0,0,1,1,138,0,9,3418,0,3,0,3,0,337,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,1,0,0,0,0,0,0,0,2022-03-06 10:19:14.121512,2022-03-06 10:19:14.121512
72,JamieDeRuyter/2017_GA_Seniors,,,,,,,,,,,,,0,0,0,0,0,0,0,0,111,199,110,244,1,0,0,0,113,25,76,0,12,42,0,0,1,1654,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,0,0,0,0,0,0,0,2022-03-06 10:19:28.691318,2022-03-06 10:19:28.691318
73,REPOSITORIOW2/bootcamp-w2,18,254,247,11623,421,646,23,20,34,,4,9,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,13,8,0,2,3,4344,0,13,255,0,1,0,10,0,389,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,1,3,0,0,0,0,0,0,0,2022-03-06 10:19:48.287309,2022-03-06 10:19:48.287309
74,Azure/db2-on-azure,86,1223,1218,28205,58,328,1,2,13,,43,83,3,28,1,327,0,5,0,1,8,2,0,0,0,0,0,4,261,51,1171,0,1,1,6366,0,1,1223,0,1,0,4,0,1700,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,1,1,0,0,0,0,0,0,0,2022-03-06 10:20:48.357696,2022-03-06 10:20:48.357696
75,PredixDev/ref-list-picker,,,,,,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,2348,0,3,0,0,0,2667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2022-03-06 10:20:55.947547,2022-03-06 10:20:55.947547
